timestamp,date,symbol,action,reason,price,qty,ml_prob,score,regime,extra
2026-05-12T02:46:27.954590+00:00,2026-05-12,IWM,hold,no_buy_signal,245.722900390625,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,AAPL,hold,no_buy_signal,271.6058349609375,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,MSFT,hold,no_buy_signal,482.5186767578125,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,GOOGL,hold,no_buy_signal,312.7798156738281,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,AMZN,hold,no_buy_signal,230.82000732421875,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,META,hold,no_buy_signal,659.5253295898438,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,NVDA,hold,no_buy_signal,186.4899139404297,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,AMD,hold,no_buy_signal,214.16000366210938,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,JNJ,hold,no_buy_signal,205.85565185546875,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,PG,hold,no_buy_signal,141.2361602783203,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,KO,hold,no_buy_signal,69.43258666992188,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,JPM,hold,no_buy_signal,319.1398010253906,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,V,hold,no_buy_signal,349.98828125,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,MA,hold,no_buy_signal,569.0458984375,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,SPY,hold,no_buy_signal,680.062744140625,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,QQQ,hold,no_buy_signal,613.536376953125,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,IWM,hold,no_buy_signal,245.722900390625,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,AAPL,hold,no_buy_signal,271.6058349609375,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,MSFT,hold,no_buy_signal,482.5186767578125,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,GOOGL,hold,no_buy_signal,312.7798156738281,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,AMZN,hold,no_buy_signal,230.82000732421875,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,META,hold,no_buy_signal,659.5253295898438,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,NVDA,hold,no_buy_signal,186.4899139404297,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,AMD,hold,no_buy_signal,214.16000366210938,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,JNJ,hold,no_buy_signal,205.85565185546875,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,PG,hold,no_buy_signal,141.2361602783203,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,KO,hold,no_buy_signal,69.43258666992188,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,JPM,hold,no_buy_signal,319.1398010253906,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,V,hold,no_buy_signal,349.98828125,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,MA,hold,no_buy_signal,569.0458984375,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,SPY,hold,no_buy_signal,680.062744140625,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,QQQ,hold,no_buy_signal,613.536376953125,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,IWM,hold,no_buy_signal,245.722900390625,,,,,
